UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
DF,97012,9,422,394,345,20221030T080001,20221030T170220,407,6,266,UE2020
DF,97012,9,431,328,262,20221030T080001,20221030T170338,407,7,236,UE2020
DF,97012,9,318,268,226,20221030T080001,20221030T170235,407,9,226,UE2020
DF,97012,9,319,329,278,20221030T080001,20221030T170450,407,7,251,UE2020
DF,97012,9,22,337,267,20221030T080446,20221030T170516,407,6,246,UE2020
DF,97012,9,325,303,234,20221030T080001,20221030T170420,407,3,226,UE2020
DF,97012,9,175,331,278,20221030T080001,20221030T170838,407,30,265,UE2020
DF,97012,9,61,280,229,20221030T080001,20221030T170504,407,12,215,UE2020
DF,97012,9,363,310,260,20221030T080001,20221030T170509,407,7,256,UE2020
DF,97012,9,193,330,281,20221030T080001,20221030T170422,407,11,259,UE2020
DF,97012,9,310,276,224,20221030T080001,20221030T171021,407,10,224,UE2020
DF,97012,9,231,235,205,20221030T080001,20221030T170420,407,8,193,UE2020
DF,97012,9,340,309,236,20221030T080001,20221030T170633,407,8,230,UE2020
DF,97012,9,202,325,274,20221030T080001,20221030T170010,407,10,258,UE2020
DF,97012,9,94,258,220,20221030T080001,20221030T170929,407,11,202,UE2020
DF,97012,9,355,308,274,20221030T080001,20221030T170144,407,14,251,UE2020
DF,97012,9,24,336,276,20221030T080001,20221030T170524,407,10,252,UE2020
DF,97012,9,339,373,310,20221030T080001,20221030T170208,407,14,291,UE2020
DF,97012,9,140,346,295,20221030T080001,20221030T170248,407,18,281,UE2020
DF,97012,9,274,331,277,20221030T080119,20221030T170614,407,11,259,UE2020
DF,97012,9,64,278,222,20221030T080001,20221030T170603,407,8,210,UE2020
DF,97012,9,239,268,220,20221030T080001,20221030T170531,407,8,220,UE2020
DF,97012,9,375,302,247,20221030T080001,20221030T170317,407,12,246,UE2020
DF,97012,9,333,263,220,20221030T080001,20221030T170331,407,3,220,UE2020
DF,97012,9,334,217,186,20221030T080001,20221030T170425,407,6,181,UE2020
DF,97012,9,23,337,274,20221030T081137,20221030T170354,407,17,248,UE2020
DF,97012,9,260,307,257,20221030T080001,20221030T170331,407,2,240,UE2020
DF,97012,9,212,340,305,20221030T080247,20221030T170330,407,10,302,UE2020
DF,97012,9,102,307,258,20221030T080025,20221030T170550,407,24,238,UE2020
DF,97012,9,169,364,301,20221030T080001,20221030T170601,407,14,286,UE2020
DF,97012,9,401,314,259,20221030T080001,20221030T171236,407,2,243,UE2020
DF,97012,9,188,380,302,20221030T080001,20221030T170128,407,11,285,UE2020
DF,97012,9,332,303,241,20221030T080001,20221030T170408,407,5,234,UE2020
DF,97012,9,278,278,235,20221030T080001,20221030T170126,407,9,235,UE2020
DF,97012,9,105,304,259,20221030T080001,20221030T170728,407,15,233,UE2020
DF,97012,9,216,271,227,20221030T080001,20221030T170446,407,8,225,UE2020
DF,97012,9,360,306,264,20221030T080001,20221030T170031,407,30,264,UE2020
DF,97012,9,71,231,196,20221030T080001,20221030T170952,407,6,181,UE2020
